customer_id,first_name,last_name,date_of_birth,ssn_hash,email,phone_primary,customer_since,customer_status,segment_code,branch_id,created_ts,updated_ts
50,Michael,Jones,1956-05-22,sha256_000049,user49@example.com,555-137-4903,2012-11-11,A,PREMIER,383,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
51,Mitchell,Vaughn,1957-08-17,sha256_000050,user50@example.com,555-531-5223,2010-06-05,A,DIGITAL,434,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
52,Jason,Burton,1995-06-23,sha256_000051,user51@example.com,555-926-2355,2018-07-30,A,PREFERRED,170,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
53,Joseph,Garcia,1984-02-21,sha256_000052,user52@example.com,555-375-2628,2009-12-04,A,PREFERRED,400,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
54,Sharon,Barton,1977-04-04,sha256_000053,user53@example.com,555-319-9163,2020-01-31,I,PREMIER,243,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
55,Deborah,Jefferson,1975-03-06,sha256_000054,user54@example.com,555-945-1401,2006-10-26,A,BASIC,415,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
56,Chelsea,Burke,2005-07-28,sha256_000055,user55@example.com,555-668-3095,2016-05-15,A,PREMIER,291,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
57,George,Martinez,1971-11-29,sha256_000056,user56@example.com,555-273-3628,2011-10-06,A,DIGITAL,420,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
58,Jessica,Riggs,1998-03-05,sha256_000057,user57@example.com,555-274-5411,2008-12-29,A,BASIC,158,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
59,Frank,Patton,1958-09-25,sha256_000058,user58@example.com,555-995-6277,2010-08-20,A,PREMIER,255,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
60,Noah,Reed,1962-10-10,sha256_000059,user59@example.com,555-750-5439,2009-06-21,A,STANDARD,209,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
61,Veronica,Patterson,1946-09-27,sha256_000060,user60@example.com,555-112-1756,2015-09-25,I,STANDARD,199,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
62,Danielle,Wood,1958-08-22,sha256_000061,user61@example.com,555-341-3192,2025-07-18,A,PREFERRED,223,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
63,Angela,Hunter,1983-12-16,sha256_000062,user62@example.com,555-855-8591,2016-08-06,A,DIGITAL,252,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
64,Gabrielle,Peterson,1943-09-23,sha256_000063,user63@example.com,555-867-6737,2022-10-19,A,STANDARD,150,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
65,Megan,Atkinson,1980-12-30,sha256_000064,user64@example.com,555-599-6841,2008-09-18,A,STANDARD,382,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
66,Kimberly,Short,1986-09-09,sha256_000065,user65@example.com,555-465-7031,2021-09-12,A,STANDARD,320,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
67,Jeremy,Garcia,1947-11-17,sha256_000066,user66@example.com,555-814-7865,2021-11-14,A,BASIC,431,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
68,Antonio,Yu,1983-09-14,sha256_000067,user67@example.com,555-651-1522,2021-06-12,I,DIGITAL,382,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
69,Leslie,Reid,2003-05-25,sha256_000068,user68@example.com,555-751-4299,2013-08-15,A,PREFERRED,159,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
70,Joseph,Poole,1977-01-25,sha256_000069,user69@example.com,555-768-5855,2015-01-16,A,BASIC,127,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
71,Jason,Zimmerman,1955-03-26,sha256_000070,user70@example.com,555-892-4045,2007-07-11,A,BASIC,269,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
72,Sherri,Graham,1995-10-27,sha256_000071,user71@example.com,555-937-8599,2018-02-15,A,BASIC,292,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
73,Nancy,Gross,1977-07-05,sha256_000072,user72@example.com,555-397-5342,2020-10-16,A,DIGITAL,196,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
74,Leonard,Sheppard,1999-10-22,sha256_000073,user73@example.com,555-577-7916,2025-06-06,A,PREFERRED,412,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
75,Diana,Nelson,1962-07-18,sha256_000074,user74@example.com,555-719-8667,2026-04-09,A,DIGITAL,332,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
76,Randall,Morton,1976-08-27,sha256_000075,user75@example.com,555-432-5542,2018-12-22,A,PREFERRED,399,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
77,Robin,Medina,1986-05-26,sha256_000076,user76@example.com,555-487-9185,2007-12-26,A,PREFERRED,143,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
78,Stephen,Webb,1993-04-24,sha256_000077,user77@example.com,555-374-6283,2015-12-27,A,STANDARD,426,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
79,Joseph,Graham,1970-09-17,sha256_000078,user78@example.com,555-208-8651,2008-08-16,A,BASIC,182,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
80,John,Simon,1963-08-29,sha256_000079,user79@example.com,555-445-4064,2024-05-21,A,STANDARD,279,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
81,Anna,Adams,1945-07-19,sha256_000080,user80@example.com,555-624-5488,2024-07-21,I,PREFERRED,275,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
82,Jose,Christian,1979-03-28,sha256_000081,user81@example.com,555-862-5782,2009-10-27,A,STANDARD,428,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
83,Brenda,Rivas,1997-09-30,sha256_000082,user82@example.com,555-564-1944,2024-04-14,A,PREFERRED,210,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
84,Rachael,Miller,1952-10-02,sha256_000083,user83@example.com,555-119-4586,2025-05-18,A,DIGITAL,196,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
85,Reginald,Keith,1966-05-05,sha256_000084,user84@example.com,555-997-9255,2018-05-15,A,PREFERRED,235,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
86,Jeffrey,Sanchez,1961-08-15,sha256_000085,user85@example.com,555-665-6676,2008-01-02,A,STANDARD,244,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
87,Whitney,Marshall,2001-12-30,sha256_000086,user86@example.com,555-451-2597,2012-09-09,A,PREFERRED,172,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
88,William,Bishop,1987-08-05,sha256_000087,user87@example.com,555-107-4049,2024-06-09,A,PREFERRED,170,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
89,Christopher,Gray,1957-02-04,sha256_000088,user88@example.com,555-384-2724,2009-10-01,A,BASIC,192,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
90,Brandon,Johnson,1952-10-13,sha256_000089,user89@example.com,555-332-1223,2009-08-15,A,PREFERRED,286,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
91,Daniel,Rosales,1979-05-14,sha256_000090,user90@example.com,555-646-9346,2010-06-22,I,PREMIER,237,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
92,Courtney,White,1954-08-16,sha256_000091,user91@example.com,555-721-5033,2008-06-11,A,PREFERRED,256,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
93,Laura,Lewis,1952-02-25,sha256_000092,user92@example.com,555-477-3767,2021-08-21,I,STANDARD,387,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
94,Robert,Salinas,1982-07-25,sha256_000093,user93@example.com,555-228-6385,2006-11-30,A,PREMIER,196,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
95,Bryan,Peterson,1948-05-17,sha256_000094,user94@example.com,555-609-1065,2020-01-11,A,PREFERRED,463,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
96,Patrick,Beard,1989-03-14,sha256_000095,user95@example.com,555-473-3501,2010-06-13,A,PREMIER,400,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
97,Wendy,Haynes,1992-06-19,sha256_000096,user96@example.com,555-253-7326,2014-11-18,I,STANDARD,169,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
98,Allison,Hill,1962-10-23,sha256_000097,user97@example.com,555-572-6703,2010-11-24,I,DIGITAL,225,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
99,Tasha,Smith,1965-11-14,sha256_000098,user98@example.com,555-741-9835,2013-11-30,A,BASIC,173,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
100,Michelle,Vaughan,1999-02-24,sha256_000099,user99@example.com,555-821-6582,2013-08-16,A,PREFERRED,209,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
101,Alexander,Miller,1952-10-01,sha256_000100,user100@example.com,555-890-5297,2014-02-22,I,BASIC,246,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
102,Jennifer,Cortez,1995-02-14,sha256_000101,user101@example.com,555-985-7852,2010-11-27,A,PREFERRED,152,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
103,Erin,Freeman,1954-08-13,sha256_000102,user102@example.com,555-685-9129,2011-09-14,A,DIGITAL,105,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
104,Amanda,Chang,2008-01-05,sha256_000103,user103@example.com,555-563-7485,2023-09-25,A,STANDARD,275,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
105,Joseph,Vaughn,1955-02-26,sha256_000104,user104@example.com,555-355-9667,2009-12-20,I,DIGITAL,380,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
106,Danielle,Brewer,1955-10-26,sha256_000105,user105@example.com,555-660-8037,2015-09-28,A,DIGITAL,221,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
107,Daniel,Henry,1956-04-04,sha256_000106,user106@example.com,555-514-8800,2019-12-25,A,STANDARD,444,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
108,Ryan,Mcguire,1963-12-29,sha256_000107,user107@example.com,555-166-2026,2016-03-05,A,PREFERRED,247,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
109,Shawn,Davis,1976-12-06,sha256_000108,user108@example.com,555-555-7590,2007-03-02,A,STANDARD,460,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
110,Stephanie,Walker,1961-04-17,sha256_000109,user109@example.com,555-827-4960,2009-05-05,A,BASIC,194,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
111,Nancy,Holt,1989-12-13,sha256_000110,user110@example.com,555-684-5977,2009-10-26,A,BASIC,315,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
112,Jose,Torres,1956-03-26,sha256_000111,user111@example.com,555-964-6886,2017-03-14,A,BASIC,405,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
113,Vincent,Perkins,1971-04-21,sha256_000112,user112@example.com,555-474-9727,2010-10-21,I,PREMIER,123,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
114,Guy,Kennedy,1977-10-12,sha256_000113,user113@example.com,555-196-9860,2018-09-30,I,STANDARD,472,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
115,Rita,Schmidt,1974-08-27,sha256_000114,user114@example.com,555-238-3593,2012-10-02,A,PREMIER,245,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
116,Monica,Coleman,1970-06-05,sha256_000115,user115@example.com,555-838-7603,2013-09-06,A,DIGITAL,299,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
117,Kenneth,Reese,2006-01-04,sha256_000116,user116@example.com,555-972-7749,2021-06-09,C,BASIC,351,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
118,Danielle,Rivera,1999-02-23,sha256_000117,user117@example.com,555-672-4118,2021-02-08,A,PREMIER,357,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
119,Chelsea,Warner,1992-01-26,sha256_000118,user118@example.com,555-104-2114,2025-03-12,A,DIGITAL,109,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
120,Eric,Nelson,2000-11-02,sha256_000119,user119@example.com,555-367-1368,2023-08-18,A,BASIC,446,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
121,Kathryn,King,1979-01-27,sha256_000120,user120@example.com,555-556-7995,2017-10-12,A,BASIC,349,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
122,Amber,Martinez,1963-10-03,sha256_000121,user121@example.com,555-965-5406,2016-11-24,C,PREFERRED,499,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
123,Kimberly,Lee,1964-09-08,sha256_000122,user122@example.com,555-886-9868,2023-02-15,A,PREMIER,288,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
124,Alyssa,Wilson,1976-12-18,sha256_000123,user123@example.com,555-872-5184,2018-02-11,A,BASIC,345,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
125,Aaron,Herrera,1951-04-04,sha256_000124,user124@example.com,555-392-9800,2014-05-21,A,BASIC,276,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
126,Mario,Gill,1970-08-30,sha256_000125,user125@example.com,555-317-4703,2021-10-13,A,STANDARD,455,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
127,Andrew,Lopez,2003-03-16,sha256_000126,user126@example.com,555-166-8142,2019-09-06,A,BASIC,432,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
128,Sarah,Robinson,1957-04-14,sha256_000127,user127@example.com,555-684-1763,2019-02-05,A,PREMIER,463,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
129,Natasha,Washington,1970-01-13,sha256_000128,user128@example.com,555-299-5998,2016-05-11,A,DIGITAL,301,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
130,Marie,Hardy,1966-01-03,sha256_000129,user129@example.com,555-585-8217,2019-02-13,A,PREMIER,416,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
131,Kyle,Bray,1970-08-26,sha256_000130,user130@example.com,555-339-9321,2011-09-29,A,BASIC,243,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
132,Brian,Warren,1971-06-11,sha256_000131,user131@example.com,555-499-8402,2019-11-23,C,DIGITAL,284,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
133,Natalie,Campbell,2002-06-11,sha256_000132,user132@example.com,555-314-1332,2017-10-10,A,BASIC,404,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
134,Stacey,Garcia,1971-01-24,sha256_000133,user133@example.com,555-149-4353,2018-11-10,A,STANDARD,132,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
135,Christopher,Lee,1955-04-14,sha256_000134,user134@example.com,555-956-1438,2022-10-09,A,PREMIER,384,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
136,Todd,Perez,1988-02-26,sha256_000135,user135@example.com,555-431-1983,2012-10-05,A,PREMIER,106,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
137,Chad,White,1968-02-22,sha256_000136,user136@example.com,555-937-7077,2021-09-22,A,PREFERRED,332,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
138,Kathleen,Smith,2006-06-11,sha256_000137,user137@example.com,555-785-7418,2020-07-02,A,DIGITAL,290,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
139,Katie,Ferguson,1985-03-28,sha256_000138,user138@example.com,555-690-7962,2010-08-19,A,PREMIER,287,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
140,David,Hill,1979-04-08,sha256_000139,user139@example.com,555-107-8788,2007-07-11,A,BASIC,297,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
141,Thomas,Mccann,1942-09-16,sha256_000140,user140@example.com,555-765-7654,2013-01-21,A,PREFERRED,296,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
142,Andrea,Tran,1994-02-20,sha256_000141,user141@example.com,555-453-8207,2008-03-04,I,STANDARD,262,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
143,Joseph,Terry,1989-12-28,sha256_000142,user142@example.com,555-443-1440,2009-05-30,C,PREFERRED,280,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
144,Monique,Martinez,1981-02-25,sha256_000143,user143@example.com,555-916-3110,2016-11-02,A,STANDARD,327,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
145,Rodney,Oneill,1942-01-16,sha256_000144,user144@example.com,555-191-6596,2011-01-29,A,STANDARD,405,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
146,Jason,Henry,1951-05-15,sha256_000145,user145@example.com,555-310-8722,2019-11-16,A,PREMIER,320,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
147,Amber,Salas,2006-03-08,sha256_000146,user146@example.com,555-498-1040,2017-03-31,A,STANDARD,357,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
148,Jessica,Andrews,1992-11-04,sha256_000147,user147@example.com,555-955-5631,2015-10-03,I,DIGITAL,434,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
149,James,Harrison,1953-06-28,sha256_000148,user148@example.com,555-336-7094,2007-04-18,I,BASIC,495,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
150,Larry,Alexander,2004-08-08,sha256_000149,user149@example.com,555-577-1266,2009-07-09,I,PREFERRED,143,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
151,Wanda,Lopez,1951-03-20,sha256_000150,user150@example.com,555-782-4611,2016-09-03,A,BASIC,385,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
152,Debra,Williams,1989-08-31,sha256_000151,user151@example.com,555-729-9059,2013-06-03,A,BASIC,190,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
153,Samuel,Everett,1947-01-24,sha256_000152,user152@example.com,555-648-7043,2022-05-20,I,BASIC,178,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
154,Zachary,Woods,1988-11-06,sha256_000153,user153@example.com,555-328-3138,2010-05-27,A,PREFERRED,417,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
155,David,Short,1979-06-05,sha256_000154,user154@example.com,555-473-8674,2015-05-28,A,BASIC,127,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
156,Jeffrey,Morales,1964-03-09,sha256_000155,user155@example.com,555-571-4131,2015-10-23,A,STANDARD,439,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
